ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-08-28T06:42:22Z,"Android OS 11 API 30 (OnePlus, HD1910)",140576,JP,103.90.19.30,,,,,35. 無人島に何を持ってく？ What would you bring to a deserted island?,Let’s learn Japanese from small talk!,spotify:episode:2it2EFfdLZlhH00HZhuWYQ,,,,,clickrow,trackdone,False,False,False,,False
2021-08-28T07:49:28Z,"Android OS 11 API 30 (OnePlus, HD1910)",444243,JP,103.90.19.30,,,,,36. 月の中にいるのはうさぎ？〜お月見(moon viewing)と秋グルメ(Autumn food)〜,Let’s learn Japanese from small talk!,spotify:episode:189Nr3c7uiUB76AVqCEEzS,,,,,trackdone,logout,False,False,False,,False
2021-08-28T08:17:41Z,"Android OS 11 API 30 (OnePlus, HD1910)",1691956,JP,103.90.19.30,,,,,36. 月の中にいるのはうさぎ？〜お月見(moon viewing)と秋グルメ(Autumn food)〜,Let’s learn Japanese from small talk!,spotify:episode:189Nr3c7uiUB76AVqCEEzS,,,,,appload,trackdone,False,False,False,,False
2021-08-28T08:33:11Z,"Android OS 11 API 30 (OnePlus, HD1910)",868583,JP,103.90.19.30,,,,,39. 日本の美容室(hair salons in Japan)とラピュタ(one of the Ghibli movies)とバルス(a spell from the movie),Let’s learn Japanese from small talk!,spotify:episode:0AdUqBrwHHEoUQwcOKFpkB,,,,,trackdone,endplay,False,False,False,,False
2021-09-02T05:41:59Z,"Android OS 11 API 30 (OnePlus, HD1910)",2416155,JP,219.100.183.2,,,,,Hades | Our best episode EVER. Also our first episode ever,Roguelikes You Should Know,spotify:episode:0C8cel79tVX3czFvPvqbLF,,,,,clickrow,trackdone,False,False,False,,False
2021-09-02T05:42:17Z,"Android OS 11 API 30 (OnePlus, HD1910)",16436,JP,219.100.183.2,,,,,Skul: The Hero Slayer | It's good to be bad,Roguelikes You Should Know,spotify:episode:0NBI9o51BSSis9618tCpzQ,,,,,trackdone,endplay,False,False,False,,False
2021-09-15T10:26:31Z,"Android OS 11 API 30 (OnePlus, HD1910)",1467185,JP,103.90.19.193,,,,,39. 日本の美容室(hair salons in Japan)とラピュタ(one of the Ghibli movies)とバルス(a spell from the movie),Let’s learn Japanese from small talk!,spotify:episode:0AdUqBrwHHEoUQwcOKFpkB,,,,,clickrow,trackdone,False,False,False,,False
2021-09-15T10:33:40Z,"Android OS 11 API 30 (OnePlus, HD1910)",2954,JP,103.90.19.193,,,,,40. 私たちも関西弁(かんさいべん)話せるようになりたい！,Let’s learn Japanese from small talk!,spotify:episode:6eQX2E73JDljTOXE0pLG7K,,,,,trackdone,endplay,False,False,False,,False
2021-09-24T08:03:29Z,"Android OS 11 API 30 (OnePlus, HD1910)",2094271,JP,103.90.17.114,,,,,40. 私たちも関西弁(かんさいべん)話せるようになりたい！,Let’s learn Japanese from small talk!,spotify:episode:6eQX2E73JDljTOXE0pLG7K,,,,,clickrow,trackdone,False,False,False,,False
2021-09-24T08:11:20Z,"Android OS 11 API 30 (OnePlus, HD1910)",470297,JP,103.90.17.114,,,,,大切なお知らせ Important information,Let’s learn Japanese from small talk!,spotify:episode:1TZDEeGRKRTsiI70oDDReA,,,,,trackdone,trackdone,False,False,False,,False
